"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",1.63937681986667,1.62904,1.57105034680852,10699.9,0.95,0.817685,2.53834,NA,NA,NA,NA,NA,NA,NA
"beta[1]",-0.0610142784419753,-0.0611306,-0.031404483544613,9420.3,0.95,-0.483196,0.384193,NA,NA,NA,NA,NA,NA,NA
"beta[2]",-1.88869874146667,-1.874535,-1.84272042831569,10270.8,0.95,-2.91178,-0.963966,NA,NA,NA,NA,NA,NA,NA
"beta[3]",0.91716171,0.9150645,0.928144988450939,10096.8,0.95,0.518605,1.31635,NA,NA,NA,NA,NA,NA,NA
"beta[4]",-0.355294997463267,-0.354898,-0.367739431298989,11681.3,0.95,-0.781701,0.0750028,NA,NA,NA,NA,NA,NA,NA
"beta[5]",-0.47296574545518,-0.4718235,-0.468216593558525,11013.7,0.95,-0.970002,0.0248659,NA,NA,NA,NA,NA,NA,NA
"beta[6]",0.0498532500143067,0.03776025,-0.023486214821701,12054.8,0.95,-1.01079,1.1806,NA,NA,NA,NA,NA,NA,NA
"beta[7]",0.309908686925907,0.307883,0.290809125193363,11766.6,0.95,-0.0648436,0.707442,NA,NA,NA,NA,NA,NA,NA
"beta[8]",0.572688931664,0.569013,0.561802781982675,9311.7,0.95,0.0813691,1.09016,NA,NA,NA,NA,NA,NA,NA
"beta[9]",-0.9198319936138,-0.9196275,-0.900814510856219,12135.9,0.95,-1.71964,-0.0146568,NA,NA,NA,NA,NA,NA,NA
"beta[10]",-0.846434598375333,-0.8406875,-0.778458785619218,9525,0.95,-1.35617,-0.299531,NA,NA,NA,NA,NA,NA,NA
"beta[11]",0.36685802787962,0.3680855,0.376300100046166,8991.1,0.95,-0.092145,0.807599,NA,NA,NA,NA,NA,NA,NA
"beta[12]",-0.820126217473333,-0.8177425,-0.827015473279555,11236.7,0.95,-1.24298,-0.412692,NA,NA,NA,NA,NA,NA,NA
"beta[13]",-0.624540675783333,-0.621385,-0.616645612298634,11599.1,0.95,-1.00808,-0.255704,NA,NA,NA,NA,NA,NA,NA
"zbeta0",0.25450079385522,0.2538175,0.26195231559589,12456.4,0.95,-0.120754,0.629791,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",-0.0615488873076987,-0.0616662,-0.031679925210668,9420.3,0.95,-0.48743,0.387559,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",-0.866455593973333,-0.859959,-0.84536469838314,10270.8,0.95,-1.3358,-0.442227,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",0.9164553272,0.9143595,0.927431537382625,10096.8,0.95,0.518206,1.31534,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",-0.311334031671133,-0.310986,-0.322240600671398,11681.3,0.95,-0.684981,0.0657226,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",-0.40838750066778,-0.4074015,-0.404286516533901,11013.7,0.95,-0.837559,0.0214707,NA,NA,NA,NA,NA,NA,NA
"zbeta[6]",0.0173726431675267,0.01315855,-0.00818518558163217,12054.8,0.95,-0.352235,0.41141,NA,NA,NA,NA,NA,NA,NA
"zbeta[7]",0.303040894136907,0.30106,0.284362814541906,11766.6,0.95,-0.0634066,0.691765,NA,NA,NA,NA,NA,NA,NA
"zbeta[8]",0.567377229432667,0.563735,0.556588311022715,9311.7,0.95,0.0806144,1.08005,NA,NA,NA,NA,NA,NA,NA
"zbeta[9]",-0.4287244401522,-0.428629,-0.419863225184096,12135.9,0.95,-0.801508,-0.0068314,NA,NA,NA,NA,NA,NA,NA
"zbeta[10]",-0.748066729686667,-0.7429875,-0.687990872555202,9525,0.95,-1.19856,-0.264721,NA,NA,NA,NA,NA,NA,NA
"zbeta[11]",0.35669208975974,0.3578855,0.365871087954899,8991.1,0.95,-0.0895916,0.78522,NA,NA,NA,NA,NA,NA,NA
"zbeta[12]",-0.804461900813333,-0.8021235,-0.811217907103313,11236.7,0.95,-1.21923,-0.40481,NA,NA,NA,NA,NA,NA,NA
"zbeta[13]",-0.621777109381333,-0.6186355,-0.61391707538165,11599.1,0.95,-1.00362,-0.254572,NA,NA,NA,NA,NA,NA,NA
